Nome,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total,Quantidade
Diego,6.0,10.0,0.0,1.0,1.0,0.0,1,0,0.0,19,1
Jonathan Copete,10.0,7.0,1.0,1.0,0.0,7.0,1,1,0.0,28,1
Keno,10.0,8.0,1.0,,10.0,5.0,5,2,1.0,42,2
Lucas Moura,12.0,1.0,10.0,4.0,3.0,2.0,1,1,10.0,44,3
Lucas Paquetá,0.0,1.0,10.0,1.0,0.0,9.0,9,4,4.0,38,0
Luiz Adriano,2.0,10.0,6.0,7.0,10.0,3.0,4,5,0.0,47,0
Matheus Babi,,,,,10.0,3.0,5,4,4.0,26,0
Paolo Guerrero,9.0,6.0,1.0,10.0,4.0,1.0,0,6,7.0,44,0
Steven Mendoza,5.0,8.0,2.0,2.0,5.0,5.0,10,6,7.0,50,0
Vítor Bueno,10.0,0.0,0.0,6.0,2.0,1.0,4,5,3.0,31,0
Willian Bigode,3.0,7.0,10.0,4.0,7.0,4.0,3,4,5.0,47,0
Yago Pikachu,0.0,2.0,10.0,5.0,2.0,9.0,4,7,2.0,41,0
Ademir,,,1.0,1.0,8.0,13.0,2,6,3.0,34,1
André Balada,2.0,16.0,4.0,2.0,2.0,2.0,3,1,0.0,32,1
Artur,,8.0,0.0,7.0,0.0,13.0,6,8,1.0,43,1
Carlos Sánchez,3.0,5.0,5.0,12.0,0.0,5.0,0,3,0.0,33,1
Claudinho,,0.0,0.0,10.0,18.0,0.0,8,5,4.0,45,1
David Terans,,6.0,1.0,0.0,,6.0,12,0,0.0,25,1
Deyverson,7.0,7.0,9.0,5.0,1.0,4.0,6,12,3.0,54,1
Edenilson,0.0,1.0,3.0,5.0,6.0,11.0,6,1,1.0,34,1
Everton,3.0,8.0,10.0,11.0,7.0,3.0,2,4,1.0,49,1
Giorgian De Arrascaeta,9.0,3.0,6.0,13.0,8.0,1.0,3,7,5.0,55,1
Henrique Dourado,2.0,18.0,6.0,1.0,8.0,8.0,5,0,2.0,50,1
Jonathan Calleri,3.0,1.0,9.0,9.0,1.0,10.0,18,9,5.0,65,1
José López,,,,,,13.0,2,5,10.0,30,1
Michael,,1.0,7.0,9.0,0.0,14.0,2,6,9.0,48,1
Pablo,9.0,1.0,12.0,3.0,0.0,5.0,4,7,3.0,44,1
Paulinho,,3.0,0.0,3.0,0.0,4.0,1,20,8.0,39,1
Pedro Raul,,,,8.0,7.0,5.0,19,6,1.0,46,1
Robson,0.0,7.0,,8.0,8.0,10.0,4,12,3.0,52,1
Rony,,7.0,3.0,6.0,5.0,4.0,12,5,4.0,46,1
Santiago Tréllez,3.0,19.0,4.0,0.0,0.0,1.0,0,6,2.0,35,1
Thiago Neves,0.0,11.0,3.0,6.0,6.0,1.0,0,0,0.0,27,1
Vina,1.0,3.0,4.0,2.0,13.0,8.0,3,1,2.0,37,1
Vitor Roque,,,,,,0.0,5,12,2.0,19,1
Wellington Paulista,2.0,9.0,5.0,13.0,9.0,3.0,2,1,,44,1
William Pottker,14.0,9.0,5.0,4.0,3.0,0.0,3,2,0.0,40,1
Bruno Henrique,0.0,8.0,1.0,21.0,9.0,11.0,1,2,6.0,59,2
Eduardo Sasha,5.0,3.0,8.0,14.0,9.0,2.0,3,11,8.0,63,2
Fred,14.0,12.0,3.0,5.0,5.0,5.0,1,0,0.0,45,2
Gilberto,2.0,2.0,2.0,14.0,9.0,15.0,1,4,3.0,52,2
Lucca,3.0,13.0,1.0,0.0,3.0,3.0,15,0,5.0,43,2
Marcos Leonardo,,,,,4.0,5.0,13,13,7.0,42,2
Marinho,12.0,3.0,1.0,8.0,17.0,6.0,4,2,4.0,57,2
Raphael Veiga,3.0,0.0,7.0,3.0,11.0,10.0,3,9,11.0,57,2
Thiago Galhardo,0.0,0.0,3.0,12.0,17.0,3.0,7,5,5.0,52,2
Luciano,1.0,4.0,3.0,7.0,18.0,4.0,11,9,11.0,68,3
Róger Guedes,4.0,4.0,11.0,12.0,6.0,7.0,10,7,19.0,80,3
Tiquinho Soares,19.0,8.0,15.0,10.0,0.0,,6,17,5.0,80,3
Ytalo,1.0,1.0,0.0,13.0,5.0,12.0,3,13,5.0,53,3
Yuri Alberto,,0.0,0.0,0.0,10.0,12.0,12,8,15.0,57,3
Gabriel Jesus,12.0,7.0,13.0,7.0,14.0,9.0,8,11,4.0,85,4
Pedro,0.0,2.0,10.0,5.0,13.0,7.0,11,13,11.0,72,4
Diego Souza,14.0,11.0,12.0,0.0,13.0,10.0,14,1,0.0,75,5
Gabriel Barbosa,6.0,0.0,18.0,25.0,14.0,12.0,11,5,4.0,95,5
Germán Cano,5.0,2.0,26.0,30.0,14.0,11.0,26,10,4.0,128,5
Hulk,5.0,17.0,13.0,10.0,6.0,19.0,12,15,10.0,107,5
